mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class
32,4,11,1,1,1,0,0,4,4,0,0,0,0,0,0,8,0,2.843433446,0.355429181,0.977430247,0.088857295,0.088857295,0.088857295,0,0,0.355429181,0.355429181,0,0,0,0,0,0,0.710858361,0,11.254,0,0,1,0,0,0,0cb1a75a-ec16-40dd-923f-dd8e9c5090e0#fbabcf8f-c7f4-45dd-b7e3-7d3c885e7c9a#168e99a87,1470,Amounts - 5/11,Reliable
40,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,16,0,3.471318233,0,0.347131823,0,0,0,0,0,0.173565912,0.173565912,0,0,0,0,0,0,1.388527293,0,11.523,0,0,1,0,0,0,0cb1a75a-ec16-40dd-923f-dd8e9c5090e0#fbabcf8f-c7f4-45dd-b7e3-7d3c885e7c9a#168e99a87,1470,Amounts - 6/11,Reliable
34,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,12,0,3.959012576,0,0.465766185,0,0,0,0,0,0.232883093,0.232883093,0,0,0,0,0,0,1.397298556,0,8.588,0,0,1,0,0,0,0cb1a75a-ec16-40dd-923f-dd8e9c5090e0#fbabcf8f-c7f4-45dd-b7e3-7d3c885e7c9a#168e99a87,1470,Amounts - 7/11,Reliable
24,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,8,0,4.788507582,0,0.798084597,0,0,0,0,0,0.399042298,0.399042298,0,0,0,0,0,0,1.596169194,0,5.012,0,0,1,0,0,0,0cb1a75a-ec16-40dd-923f-dd8e9c5090e0#fbabcf8f-c7f4-45dd-b7e3-7d3c885e7c9a#168e99a87,1470,Amounts - 8/11,Reliable
24,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,8,0,5.540166205,0,0.923361034,0,0,0,0,0,0.461680517,0.461680517,0,0,0,0,0,0,1.846722068,0,4.332,0,0,1,0,0,0,0cb1a75a-ec16-40dd-923f-dd8e9c5090e0#fbabcf8f-c7f4-45dd-b7e3-7d3c885e7c9a#168e99a87,1470,Amounts - 9/11,Reliable
12,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,2,0,5.885237862,0,4.413928396,0.490436488,0.490436488,0.490436488,0,0,1.471309465,1.471309465,0,0,0,0,0,0,0.980872977,0,2.039,0,0,0,1,0,0,4b3d4f6f-a5de-4a42-b5e0-08a53fd07761#76e6520a-8196-46f1-81de-d2a8d1852ee2#17002594f,1470,Dates - 2/5,Unreliable
14,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,2,0,6.502554575,0,4.180213655,0.464468184,0.464468184,0.464468184,0,0,1.393404552,1.393404552,0,0,0,0,0,0,0.928936368,0,2.153,0,0,0,1,0,0,4b3d4f6f-a5de-4a42-b5e0-08a53fd07761#76e6520a-8196-46f1-81de-d2a8d1852ee2#17002594f,1470,Dates - 3/5,Unreliable
13,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,2,0,6.889242183,0,4.769475358,0.529941706,0.529941706,0.529941706,0,0,1.589825119,1.589825119,0,0,0,0,0,0,1.059883413,0,1.887,0,0,0,1,0,0,4b3d4f6f-a5de-4a42-b5e0-08a53fd07761#76e6520a-8196-46f1-81de-d2a8d1852ee2#17002594f,1470,Dates - 4/5,Unreliable
13,2,7,1,1,1,0,0,2,2,0,0,0,0,3,0,2,0,5.275974026,0.811688312,2.840909091,0.405844156,0.405844156,0.405844156,0,0,0.811688312,0.811688312,0,0,0,0,1.217532468,0,0.811688312,0,2.464,0,0,0,1,0,0,4b3d4f6f-a5de-4a42-b5e0-08a53fd07761#76e6520a-8196-46f1-81de-d2a8d1852ee2#17002594f,1470,Dates - 5/5,Unreliable
12,0,9,1,1,1,0,0,3,3,0,0,0,0,0,0,2,0,4.737465456,0,3.553099092,0.394788788,0.394788788,0.394788788,0,0,1.184366364,1.184366364,0,0,0,0,0,0,0.789577576,0,2.533,0,0,0,1,0,0,5623b158-c53f-442a-8e5c-b7a05e504aaf#76e8f310-52a5-4e16-8da7-88f8739a96fd#17002594f,1470,Dates - 2/5,Unreliable
