mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,Confidence,recording_id,step_id,workunit_id,class
69,0,19,1,1,1,0,0,8,8,0,0,0,0,1,0,33,0,4.70796943231441,0.0,1.2963973799126638,0.0682314410480349,0.0682314410480349,0.0682314410480349,0.0,0.0,0.5458515283842794,0.5458515283842794,0.0,0.0,0.0,0.0,0.0682314410480349,0.0,2.2516375545851526,0.0,14.656,0.0,0.6923474,05fb0f89-76a7-45af-9ca5-264c655f2923#d3e007e2-8a67-4c33-b302-cc06d209fce3#1d00ee88f,1470,Page 1 of Dates -  2/5,Reliable
64,0,19,1,1,1,0,0,8,8,0,0,0,0,0,0,33,0,6.1562139284340125,0.0,1.8276260100038475,0.0961908426317814,0.0961908426317814,0.0961908426317814,0.0,0.0,0.7695267410542516,0.7695267410542516,0.0,0.0,0.0,0.0,0.0,0.0,3.174297806848788,0.0,10.396,0.0,0.63215095,05fb0f89-76a7-45af-9ca5-264c655f2923#d3e007e2-8a67-4c33-b302-cc06d209fce3#1d00ee88f,1470,Page 1 of Dates -  3/5,Reliable
66,5,18,1,1,2,0,0,7,7,0,0,0,0,3,0,33,0,5.844845908607864,0.4427913567127169,1.5940488841657812,0.0885582713425433,0.0885582713425433,0.1771165426850867,0.0,0.0,0.6199078993978038,0.6199078993978038,0.0,0.0,0.0,0.0,0.2656748140276301,0.0,2.922422954303932,0.0,11.292,0.0,0.5722699,05fb0f89-76a7-45af-9ca5-264c655f2923#d3e007e2-8a67-4c33-b302-cc06d209fce3#1d00ee88f,1470,Page 1 of Dates -  5/5,Reliable
38,10,24,4,4,4,0,0,6,6,0,0,0,0,0,0,13,0,4.279279279279279,1.126126126126126,2.702702702702702,0.4504504504504504,0.4504504504504504,0.4504504504504504,0.0,0.0,0.6756756756756757,0.6756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,1.463963963963964,0.0,8.88,0.0,0.48782334,08409fa9-e6f1-4566-921a-dc8d5c3d1cb5#365e2db1-295f-4d26-aca5-3b5cf6531ff3#13d707a22,2289,Page 1 of DatesReha -  2/3,Reliable
39,7,14,2,2,2,0,0,4,4,0,0,0,0,3,0,16,0,5.386740331491713,0.9668508287292816,1.9337016574585637,0.2762430939226519,0.2762430939226519,0.2762430939226519,0.0,0.0,0.5524861878453039,0.5524861878453039,0.0,0.0,0.0,0.0,0.4143646408839779,0.0,2.209944751381216,0.0,7.24,0.0,0.7554309,08409fa9-e6f1-4566-921a-dc8d5c3d1cb5#365e2db1-295f-4d26-aca5-3b5cf6531ff3#13d707a22,2289,Page 1 of DatesReha -  3/3,Reliable
32,7,13,1,1,1,0,0,5,5,0,0,0,0,5,0,13,0,3.4393809114359413,0.7523645743766122,1.3972484952708513,0.1074806534823731,0.1074806534823731,0.1074806534823731,0.0,0.0,0.5374032674118658,0.5374032674118658,0.0,0.0,0.0,0.0,0.5374032674118658,0.0,1.3972484952708513,0.0,9.304,0.0,0.755348,0a441d8b-2853-4564-b287-f1365600cfab#faf457a9-7732-4c36-bbe5-c3149f6d42fe#1c28c42c5,2289,Page 1 of DatesReha -  2/3,Reliable
49,5,16,1,1,2,0,0,6,6,0,0,0,0,8,0,22,0,4.541241890639482,0.4633920296570899,1.4828544949026878,0.0926784059314179,0.0926784059314179,0.1853568118628359,0.0,0.0,0.5560704355885079,0.5560704355885079,0.0,0.0,0.0,0.0,0.7414272474513439,0.0,2.038924930491196,0.0,10.79,0.0,0.72255355,0a441d8b-2853-4564-b287-f1365600cfab#faf457a9-7732-4c36-bbe5-c3149f6d42fe#1c28c42c5,2289,Page 1 of DatesReha -  3/3,Reliable
68,0,21,1,1,1,0,0,9,9,0,0,0,0,0,0,33,0,5.552833578311285,0.0,1.7148456638902498,0.0816593173281071,0.0816593173281071,0.0816593173281071,0.0,0.0,0.7349338559529642,0.7349338559529642,0.0,0.0,0.0,0.0,0.0,0.0,2.6947574718275358,0.0,12.246,0.0,0.6116521,0a8c35a3-3818-488e-bfc9-cbfb7eac51cd#15fe9baf-a757-45d9-8057-a2309959e794#16dba92d9,1470,Page 1 of Dates -  2/5,Reliable
69,0,21,1,1,1,0,0,9,9,0,0,0,0,0,0,32,0,4.84993322555704,0.0,1.4760666338651858,0.0702888873269136,0.0702888873269136,0.0702888873269136,0.0,0.0,0.6325999859422226,0.6325999859422226,0.0,0.0,0.0,0.0,0.0,0.0,2.249244394461236,0.0,14.227,0.0,0.6462695,0a8c35a3-3818-488e-bfc9-cbfb7eac51cd#15fe9baf-a757-45d9-8057-a2309959e794#16dba92d9,1470,Page 1 of Dates -  3/5,Reliable
69,0,21,1,1,1,0,0,9,9,0,0,0,0,0,0,34,0,5.339317495937475,0.0,1.625009672676623,0.077381412984601,0.077381412984601,0.077381412984601,0.0,0.0,0.6964327168614098,0.6964327168614098,0.0,0.0,0.0,0.0,0.0,0.0,2.630968041476437,0.0,12.923,0.0,0.61397296,0a8c35a3-3818-488e-bfc9-cbfb7eac51cd#15fe9baf-a757-45d9-8057-a2309959e794#16dba92d9,1470,Page 1 of Dates -  4/5,Reliable
48,5,20,2,2,2,0,0,7,7,0,0,0,0,0,0,13,0,4.817825956037338,0.501856870420556,2.007427481682224,0.2007427481682224,0.2007427481682224,0.2007427481682224,0.0,0.0,0.7025996185887785,0.7025996185887785,0.0,0.0,0.0,0.0,0.0,0.0,1.3048278630934458,0.0,9.963,0.0,0.7205652,0c332406-7f49-4498-a921-eb47c0ac5a12#986f932d-4806-45d9-be5a-81229c60d9d8#15e76dfa4,2289,Page 1 of DatesReha -  1/3,Reliable
31,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,13,0,7.03905540417802,0.0,2.9518619436875566,0.2270663033605812,0.2270663033605812,0.2270663033605812,0.0,0.0,1.1353315168029066,1.1353315168029066,0.0,0.0,0.0,0.0,0.0,0.0,2.9518619436875566,0.0,4.404,0.0,0.74619144,0c332406-7f49-4498-a921-eb47c0ac5a12#986f932d-4806-45d9-be5a-81229c60d9d8#15e76dfa4,2289,Page 1 of DatesReha -  2/3,Reliable
33,3,17,2,2,3,0,0,5,5,0,0,0,0,6,0,13,0,4.63743676222597,0.4215851602023609,2.3889825744800453,0.2810567734682406,0.2810567734682406,0.4215851602023609,0.0,0.0,0.7026419336706015,0.7026419336706015,0.0,0.0,0.0,0.0,0.8431703204047218,0.0,1.826869027543564,0.0,7.116,0.0,0.82418233,0c332406-7f49-4498-a921-eb47c0ac5a12#986f932d-4806-45d9-be5a-81229c60d9d8#15e76dfa4,2289,Page 1 of DatesReha -  3/3,Reliable
61,0,22,1,1,2,0,0,9,9,0,0,0,0,0,0,25,0,7.628814407203602,0.0,2.7513756878439217,0.1250625312656328,0.1250625312656328,0.2501250625312656,0.0,0.0,1.1255627813906952,1.1255627813906952,0.0,0.0,0.0,0.0,0.0,0.0,3.1265632816408204,0.0,7.996,0.0,0.54201835,0cc8dc7a-893b-4021-84e8-7ac71978bb28#401b4b24-9db5-4d6c-a443-21d9b0bf41b3#159f194da,1470,Page 1 of Dates -  2/5,Reliable
52,0,22,1,1,2,0,0,9,9,0,0,0,0,0,0,21,0,7.3685702139719425,0.0,3.117472013603514,0.1417032733456142,0.1417032733456142,0.2834065466912285,0.0,0.0,1.2753294601105285,1.2753294601105285,0.0,0.0,0.0,0.0,0.0,0.0,2.9757687402579,0.0,7.057,0.0,0.5607957,0cc8dc7a-893b-4021-84e8-7ac71978bb28#401b4b24-9db5-4d6c-a443-21d9b0bf41b3#159f194da,1470,Page 1 of Dates -  3/5,Reliable
67,0,22,1,1,2,0,0,9,9,0,0,0,0,0,0,29,0,6.950928519555971,0.0,2.2823944392571844,0.1037452017844174,0.1037452017844174,0.2074904035688349,0.0,0.0,0.9337068160597572,0.9337068160597572,0.0,0.0,0.0,0.0,0.0,0.0,3.0086108517481067,0.0,9.639,0.0,0.5428913,0cc8dc7a-893b-4021-84e8-7ac71978bb28#401b4b24-9db5-4d6c-a443-21d9b0bf41b3#159f194da,1470,Page 1 of Dates -  4/5,Reliable
62,3,21,1,1,3,0,0,8,8,0,0,0,0,6,0,24,0,5.86232980332829,0.283661119515885,1.985627836611195,0.094553706505295,0.094553706505295,0.283661119515885,0.0,0.0,0.75642965204236,0.75642965204236,0.0,0.0,0.0,0.0,0.56732223903177,0.0,2.26928895612708,0.0,10.576,0.0,0.58244973,0cc8dc7a-893b-4021-84e8-7ac71978bb28#401b4b24-9db5-4d6c-a443-21d9b0bf41b3#159f194da,1470,Page 1 of Dates -  5/5,Reliable
53,7,9,1,1,1,0,0,3,3,0,0,0,0,0,0,28,0,4.521027040859848,0.5971167789814893,0.7677215729762006,0.0853023969973556,0.0853023969973556,0.0853023969973556,0.0,0.0,0.2559071909920669,0.2559071909920669,0.0,0.0,0.0,0.0,0.0,0.0,2.388467115925957,0.0,11.723,0.0,0.74302006,0d241cbc-ffe1-4a87-a50d-a0fcfea58002#0d7ea854-2ef2-4c44-8c3f-fa502ffd7e61#13d707a22,2289,Page 1 of DatesReha -  2/3,Reliable
31,11,22,4,4,4,0,0,5,5,0,0,0,0,4,0,7,0,4.589872668048564,1.6286644951140066,3.257328990228013,0.5922416345869115,0.5922416345869115,0.5922416345869115,0.0,0.0,0.7403020432336394,0.7403020432336394,0.0,0.0,0.0,0.0,0.5922416345869115,0.0,1.036422860527095,0.0,6.754,0.0,0.6414802,0d241cbc-ffe1-4a87-a50d-a0fcfea58002#0d7ea854-2ef2-4c44-8c3f-fa502ffd7e61#13d707a22,2289,Page 1 of DatesReha -  3/3,Reliable
