mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,step_id,DatesReha,Amounts,Dates,Table,Your Task,Prediction,Confidence,confidence_without_cal,recording_id,step_id,workunit_id,class
84,1,21,1,1,1,0,0,9,9,0,0,0,0,1,0,40,0,6.545624562,0.077924102,1.63640614,0.077924102,0.077924102,0.077924102,0,0,0.701316917,0.701316917,0,0,0,0,0.077924102,0,3.116964077,0,12.833,0,1470,0,0,1,0,0,Reliable,0,0.9999956,4b73e714-ca85-4cb1-8f80-25ce4e81d977#3e874c0e-54f6-4203-a8d1-034401733965#109b547fe,1470,Dates - 3/5,Reliable
116,0,29,1,1,1,0,0,13,13,0,0,0,0,2,0,53,0,4.706837087,0,1.176709272,0.040576182,0.040576182,0.040576182,0,0,0.527490363,0.527490363,0,0,0,0,0.081152364,0,2.150537634,0,24.645,0,1470,0,0,1,0,0,Reliable,0,0.99999547,4b73e714-ca85-4cb1-8f80-25ce4e81d977#3e874c0e-54f6-4203-a8d1-034401733965#109b547fe,1470,Dates - 4/5,Reliable
86,7,29,3,3,5,0,0,9,9,0,0,0,0,1,0,35,0,4.160619255,0.338655056,1.402999516,0.145137881,0.145137881,0.241896468,0,0,0.435413643,0.435413643,0,0,0,0,0.048379294,0,1.693275278,0,20.67,0,1470,0,0,1,0,0,Reliable,0,0.9999957,4b73e714-ca85-4cb1-8f80-25ce4e81d977#3e874c0e-54f6-4203-a8d1-034401733965#109b547fe,1470,Dates - 5/5,Reliable
4797,2,63,0,0,2,0,0,31,30,0,0,0,0,11,1,115,0,114.189816468,0.047608846,1.49967864,0,0,0.047608846,0,0,0.737937109,0.714132686,0,0,0,0,0.261848651,0.023804423,2.737508629,0,42.009,144.737,970,0,0,0,0,1,Reliable,0,0.9999924,7aeead2b-5ec1-470d-9f64-644f76afc0c4#f58c7b9e-d3c5-484f-ac87-dee804297353#1d8d283a7,970,Your Task,Reliable
283,12,42,3,3,3,0,0,17,16,0,0,0,0,2,0,73,0,13.845401174,0.587084149,2.054794521,0.146771037,0.146771037,0.146771037,0,0,0.831702544,0.782778865,0,0,0,0,0.097847358,0,3.571428571,0,20.44,122.108,1470,0,0,1,0,0,Reliable,0,0.9999945,8d2ecdf9-0bcc-46b0-9368-685dfcc4aa19#65cc4867-b663-4733-9507-e759960f733b#1de201ab7,1470,Dates - 1/4,Reliable
143,1,31,1,1,1,0,0,14,14,0,0,0,0,3,0,77,0,8.246352575,0.057666801,1.787670838,0.057666801,0.057666801,0.057666801,0,0,0.807335217,0.807335217,0,0,0,0,0.173000404,0,4.440343694,0,17.341,0,1470,0,0,1,0,0,Reliable,0,0.999995,8d2ecdf9-0bcc-46b0-9368-685dfcc4aa19#65cc4867-b663-4733-9507-e759960f733b#1de201ab7,1470,Dates - 2/4,Reliable
129,0,31,1,1,1,0,0,14,14,0,0,0,0,3,0,63,0,8.779093508,0,2.109704641,0.068054988,0.068054988,0.068054988,0,0,0.952769838,0.952769838,0,0,0,0,0.204164965,0,4.287464271,0,14.694,0,1470,0,0,1,0,0,Reliable,0,0.99999523,8d2ecdf9-0bcc-46b0-9368-685dfcc4aa19#65cc4867-b663-4733-9507-e759960f733b#1de201ab7,1470,Dates - 3/4,Reliable
87,4,28,3,3,4,0,0,9,9,0,0,0,0,4,0,40,0,6.863363837,0.315556958,2.208898706,0.236667719,0.236667719,0.315556958,0,0,0.710003156,0.710003156,0,0,0,0,0.315556958,0,3.15556958,0,12.676,0,1470,0,0,1,0,0,Reliable,0,0.99999547,8d2ecdf9-0bcc-46b0-9368-685dfcc4aa19#65cc4867-b663-4733-9507-e759960f733b#1de201ab7,1470,Dates - 4/4,Reliable
165,6,40,2,2,4,0,0,16,16,0,0,0,0,1,0,71,0,6.182553957,0.224820144,1.498800959,0.074940048,0.074940048,0.149880096,0,0,0.599520384,0.599520384,0,0,0,0,0.037470024,0,2.660371703,0,26.688,0,1470,0,0,1,0,0,Reliable,0,0.9999951,8ef31bfc-cc51-41b3-90f8-4f652e91c066#addb6387-7a3d-4e09-9625-9d89b4315780#111d0d877,1470,Dates - 1/1,Reliable
124,8,38,2,2,2,0,0,16,16,0,0,0,0,2,0,59,0,8.019142469,0.51736403,2.457479144,0.129341008,0.129341008,0.129341008,0,0,1.034728061,1.034728061,0,0,0,0,0.129341008,0,3.815559723,0,15.463,0,1470,0,0,1,0,0,Reliable,0,0.99999523,9275cfc7-23b5-45c8-9c2b-fafa8a201c00#383ac423-3b73-4a68-a7fb-f42060a28c9f#18400455c,1470,Dates - 1/5,Reliable
118,4,34,2,2,2,0,0,14,14,0,0,0,0,2,0,57,0,9.683243066,0.328245528,2.790086985,0.164122764,0.164122764,0.164122764,0,0,1.148859347,1.148859347,0,0,0,0,0.164122764,0,4.677498769,0,12.186,0,1470,0,0,1,0,0,Reliable,0,0.99999535,9275cfc7-23b5-45c8-9c2b-fafa8a201c00#383ac423-3b73-4a68-a7fb-f42060a28c9f#18400455c,1470,Dates - 2/5,Reliable
113,1,27,1,1,1,0,0,12,12,0,0,0,0,1,0,59,0,9.239574816,0.081766149,2.207686018,0.081766149,0.081766149,0.081766149,0,0,0.981193786,0.981193786,0,0,0,0,0.081766149,0,4.82420278,0,12.23,0,1470,0,0,1,0,0,Reliable,0,0.99999535,9275cfc7-23b5-45c8-9c2b-fafa8a201c00#383ac423-3b73-4a68-a7fb-f42060a28c9f#18400455c,1470,Dates - 4/5,Reliable
79,5,26,2,2,2,0,0,10,10,0,0,0,0,6,0,34,0,7.454940077,0.47183165,2.453524582,0.18873266,0.18873266,0.18873266,0,0,0.943663301,0.943663301,0,0,0,0,0.566197981,0,3.208455223,0,10.597,0,1470,0,0,1,0,0,Reliable,0,0.9999956,9275cfc7-23b5-45c8-9c2b-fafa8a201c00#383ac423-3b73-4a68-a7fb-f42060a28c9f#18400455c,1470,Dates - 5/5,Reliable
9620,4,28,1,1,2,0,0,12,12,0,0,0,0,6,0,120,0,106.250207089,0.04417888,0.309252162,0.01104472,0.01104472,0.02208944,0,0,0.132536641,0.132536641,0,0,0,0,0.06626832,0,1.325366409,0,90.541,255.216,970,0,0,0,0,1,Reliable,0,0.99999213,ceb8e745-e2d1-4456-bfd9-ca876f7137fa#790ef8e7-7d8f-49f7-adf2-781e25e3c41a#159de1837,970,Your Task,Reliable
273,17,46,3,3,3,0,0,19,18,0,0,0,0,2,2,73,0,10.583446404,0.65904245,1.783291336,0.116301609,0.116301609,0.116301609,0,0,0.736576856,0.697809653,0,0,0,0,0.077534406,0.077534406,2.830005815,0,25.795,104.72,1470,0,0,1,0,0,Reliable,0,0.9999945,d25d1bcb-886c-4a4e-8246-1eb0cbb53701#ffa3ce6e-6db6-4e11-9d92-54f0025c9672#130aaf941,1470,Dates - 1/4,Reliable
139,0,31,1,1,1,0,0,14,14,0,0,0,0,3,0,72,0,8.332833763,0,1.858401774,0.059948444,0.059948444,0.059948444,0,0,0.839278221,0.839278221,0,0,0,0,0.179845333,0,4.316287992,0,16.681,0,1470,0,0,1,0,0,Reliable,0,0.9999951,d25d1bcb-886c-4a4e-8246-1eb0cbb53701#ffa3ce6e-6db6-4e11-9d92-54f0025c9672#130aaf941,1470,Dates - 2/4,Reliable
128,0,31,1,1,1,0,0,14,14,0,0,0,0,3,0,63,0,9.596641176,0,2.324186535,0.074973759,0.074973759,0.074973759,0,0,1.049632629,1.049632629,0,0,0,0,0.224921278,0,4.723346829,0,13.338,0,1470,0,0,1,0,0,Reliable,0,0.99999523,d25d1bcb-886c-4a4e-8246-1eb0cbb53701#ffa3ce6e-6db6-4e11-9d92-54f0025c9672#130aaf941,1470,Dates - 3/4,Reliable
85,4,20,1,1,2,0,0,8,8,0,0,0,0,11,0,41,0,6.282335551,0.29563932,1.4781966,0.07390983,0.07390983,0.14781966,0,0,0.59127864,0.59127864,0,0,0,0,0.81300813,0,3.03030303,0,13.53,0,1470,0,0,1,0,0,Reliable,0,0.99999535,d25d1bcb-886c-4a4e-8246-1eb0cbb53701#ffa3ce6e-6db6-4e11-9d92-54f0025c9672#130aaf941,1470,Dates - 4/4,Reliable
