mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,Confidence,recording_id,step_id,class
5,0,16,3,3,2,0,0,4,4,0,0,0,0,0,0,0,0,11.11111111111111,0.0,35.55555555555556,6.666666666666666,6.666666666666666,4.444444444444445,0.0,0.0,8.88888888888889,8.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.97662103,02ec8db9-62c4-45b0-abcd-5f784ef42d43#ed51a828-0133-468f-98bf-feb9592660e5#1298bc9cb,1470,Reliable
11,2,6,1,1,2,0,0,1,1,0,0,0,0,3,0,2,0,11.77730192719486,2.141327623126338,6.423982869379015,1.070663811563169,1.070663811563169,2.141327623126338,0.0,0.0,1.070663811563169,1.070663811563169,0.0,0.0,0.0,0.0,3.2119914346895078,0.0,2.141327623126338,0.0,934,0.0,0.975549,89c8cf29-afd4-4396-ad19-3e5c6d7f86a1#da70d827-8d1f-4771-b37d-7b9ccc12aad8#1fcbf9fba,1470,Unreliable
6,0,14,2,2,2,0,0,4,4,0,0,0,0,0,0,0,0,16.62049861495845,0.0,38.78116343490305,5.54016620498615,5.54016620498615,5.54016620498615,0.0,0.0,11.0803324099723,11.0803324099723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361,0.0,0.97468513,04efd1ca-a65d-4fa4-a9c9-7ae36ec73008#8b086356-c6a0-4645-9253-54c99929d8cf#1298bc9cb,1470,Reliable
26,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,152.9411764705867,0.0,41.17647058823488,5.882352941176412,5.882352941176412,5.882352941176412,0.0,0.0,11.764705882352825,11.764705882352825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1700000000000017,20.426,0.9744033,32979e30-0eae-4c2d-8454-bb7d5248544f#ddcfb291-8744-4e16-a00e-2a981d8d6080#1ad6f4856,1470,Reliable
4,0,16,3,3,2,0,0,4,4,0,0,0,0,0,0,0,0,8.474576271186441,0.0,33.898305084745765,6.3559322033898304,6.3559322033898304,4.237288135593221,0.0,0.0,8.474576271186441,8.474576271186441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472,0.0,0.97391903,02ec8db9-62c4-45b0-abcd-5f784ef42d43#ed51a828-0133-468f-98bf-feb9592660e5#1298bc9cb,1470,Reliable
20,13,6,1,1,2,0,0,1,1,0,0,0,0,44,0,0,0,1.940805434255216,1.2615235322658904,0.5822416302765648,0.0970402717127607,0.0970402717127607,0.1940805434255215,0.0,0.0,0.0970402717127607,0.0970402717127607,0.0,0.0,0.0,0.0,4.269771955361475,0.0,0.0,0.0,10.305,0.0,0.9736669,9ebb2833-312a-4427-bdce-6ad3dcc284f2#f41987f6-d7c8-4016-b534-e070e423a3d6#14a1d1fc7,1470,Reliable
6,1,15,2,2,2,0,1,4,4,0,0,0,0,0,0,0,0,17.24137931034483,2.873563218390805,43.10344827586207,5.74712643678161,5.74712643678161,5.74712643678161,0.0,2.873563218390805,11.49425287356322,11.49425287356322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348,0.0,0.9733174,04efd1ca-a65d-4fa4-a9c9-7ae36ec73008#8b086356-c6a0-4645-9253-54c99929d8cf#1298bc9cb,1470,Reliable
54,9,23,3,3,3,0,0,7,7,0,0,0,0,2,4,13,0,8.837970540098201,1.4729950900163669,3.7643207855973815,0.4909983633387889,0.4909983633387889,0.4909983633387889,0.0,0.0,1.1456628477905075,1.1456628477905075,0.0,0.0,0.0,0.0,0.3273322422258592,0.6546644844517185,2.127659574468085,0.0,6.109999999999999,0.0,0.9730708,f9cae305-e5a8-47cd-8776-6647ce8f9b12#54fe0fea-bf18-41cf-886d-8d9b237614b7#1fcbf9fba,2289,Reliable
5,0,16,3,3,2,0,0,4,4,0,0,0,0,0,0,0,0,10.395010395010395,0.0,33.264033264033266,6.237006237006237,6.237006237006237,4.158004158004158,0.0,0.0,8.316008316008316,8.316008316008316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481,0.0,0.9725131,02ec8db9-62c4-45b0-abcd-5f784ef42d43#ed51a828-0133-468f-98bf-feb9592660e5#1298bc9cb,1470,Reliable
3,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,20.689655172413797,6.896551724137932,48.27586206896552,6.896551724137932,6.896551724137932,6.896551724137932,0.0,0.0,13.793103448275865,13.793103448275865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,0.0,0.97188944,3b56c210-814f-4172-8f72-6e68f7dd5834#8f627d0b-1cce-4978-8e52-cd61cc844ca3#15d84edfd,1470,Unreliable
