mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,9.819967267,0,11.456628478,1.636661211,1.636661211,1.636661211,0,0,3.273322422,3.273322422,0,0,0,0,0,0,0,0,0.611,0,0,0,0,1,0,3MXX6RQ9EVHDTP8SYWNKP45SYPLP4N#9cfdf6e6-d7eb-4bde-94e6-1daa29d7e9a4#1A39ONIMT6RT6S2,1468,Table - 3/7,Reliable
5,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,8.771929825,0,12.280701754,1.754385965,1.754385965,1.754385965,0,0,3.50877193,3.50877193,0,0,0,0,0,0,0,0,0.57,0,0,0,0,1,0,3MXX6RQ9EVHDTP8SYWNKP45SYPLP4N#9cfdf6e6-d7eb-4bde-94e6-1daa29d7e9a4#1A39ONIMT6RT6S2,1468,Table - 4/7,Reliable
41,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,18,0,8.504459656,0,3.111387679,0.207425845,0.207425845,0.207425845,0,0,1.244555072,1.244555072,0,0,0,0,0,0,3.733665215,0,4.821,0,0,0,1,0,0,3NZ1E5QA6ZDTLEBITWOTZC6HHH05BM#186839f6-7362-47ee-bd6e-3936ed6ee94b#1AFE0E86DWBBGA,1468,Dates - 2/5,Reliable
42,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,19,0,8.93807193,0,3.192168546,0.212811236,0.212811236,0.212811236,0,0,1.276867419,1.276867419,0,0,0,0,0,0,4.043413492,0,4.699,0,0,0,1,0,0,3NZ1E5QA6ZDTLEBITWOTZC6HHH05BM#186839f6-7362-47ee-bd6e-3936ed6ee94b#1AFE0E86DWBBGA,1468,Dates - 3/5,Reliable
24,6,24,4,4,4,0,0,6,6,0,0,0,0,1,0,6,0,6.798866856,1.699716714,6.798866856,1.133144476,1.133144476,1.133144476,0,0,1.699716714,1.699716714,0,0,0,0,0.283286119,0,1.699716714,0,3.53,0,0,0,1,0,0,3RHLQY6EDTG44S52TNWPPAO3K7XD4E#934fb694-b8da-4f06-bad0-31d72419d8a1#1A39ONIMT6RT6S2,1468,Dates - 4/5,Reliable
5,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,8.912655971,0,12.47771836,1.782531194,1.782531194,1.782531194,0,0,3.565062389,3.565062389,0,0,0,0,0,0,0,0,0.561,0,0,0,0,1,0,3SCKNODZ0XSA9REYKF8ZORK7PC8N77#e4635d74-9d5c-46c4-bc36-e1a3418b6b1b#1A4Y7I8J2079AJ,1468,Table - 5/7,Reliable
6,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,11.278195489,0,13.157894737,1.879699248,1.879699248,1.879699248,0,0,3.759398496,3.759398496,0,0,0,0,0,0,0,0,0.532,0,0,0,0,1,0,3SCKNODZ0XSA9REYKF8ZORK7PC8N77#e4635d74-9d5c-46c4-bc36-e1a3418b6b1b#1A4Y7I8J2079AJ,1468,Table - 6/7,Reliable
35,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,13,0,10.772545399,0,4.001231148,0.307787011,0.307787011,0.307787011,0,0,1.538935057,1.538935057,0,0,0,0,0,0,4.001231148,0,3.249,0,0,0,1,0,0,48517499-0474-49f4-82c1-64be9b9a887b#c89ef7e9-9cb0-4b56-89b0-78598467ba33#15782b96d,1470,Dates - 3/5,Unreliable
33,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,14,0,9.824352486,0,3.870199464,0.297707651,0.297707651,0.297707651,0,0,1.488538255,1.488538255,0,0,0,0,0,0,4.167907115,0,3.359,0,0,0,1,0,0,48517499-0474-49f4-82c1-64be9b9a887b#c89ef7e9-9cb0-4b56-89b0-78598467ba33#15782b96d,1470,Dates - 4/5,Unreliable
25,2,10,1,1,2,0,0,3,3,0,0,0,0,5,0,9,0,7.819831092,0.625586487,3.127932437,0.312793244,0.312793244,0.625586487,0,0,0.938379731,0.938379731,0,0,0,0,1.563966218,0,2.815139193,0,3.197,0,0,0,1,0,0,48517499-0474-49f4-82c1-64be9b9a887b#c89ef7e9-9cb0-4b56-89b0-78598467ba33#15782b96d,1470,Dates - 5/5,Unreliable
