mutation_count;mouse_move_count;mouse_interaction_count;mouse_up_count;mouse_down_count;click_count;context_menu_count;dbl_click_count;focus_count;blur_count;touch_start_count;touch_move_departed_count;touch_end_count;touch_cancel_count;scroll_count;viewport_resize_count;input_count;touch_count;mutation_per_second;mouse_move_per_second;mouse_interaction_per_second;mouse_up_per_second;mouse_down_per_second;click_per_second;context_menu_per_second;dbl_click_per_second;focus_per_second;blur_per_second;touch_start_per_second;touch_move_departed_per_second;touch_end_per_second;touch_cancel_per_second;scroll_per_second;viewport_resize_per_second;input_per_second;touch_per_second;active_s;inactivity_s;DatesReha;Amounts;Dates;Table;Your Task;Prediction;Confidence;recording_id;step_id;workunit_id;class
9;3;14;3;3;4;0;0;2;2;0;0;0;0;0;0;0;0;3.677.973.028.197.790;12.259.910.093.992.600;5.721.291.377.196.560;12.259.910.093.992.600;12.259.910.093.992.600;1.634.654.679.199.010;0.0;0.0;0.8173273395995095;0.8173273395995095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2447;0.0;0;0;0;1;0;Reliable;0.99353033;38RHULDV9YRXL548V73JBZN7WGXWI0#aa796241-c738-4506-a39f-05f9921ec8c4#1A1E2VJVX6MZ6PL;1468;Table - 7/7;Reliable
31;2;12;1;1;2;0;0;4;4;0;0;0;0;0;0;22;0;3.861.003.861.003.860;0.2490970232905716;149.458.213.974.343;0.1245485116452858;0.1245485116452858;0.2490970232905716;0.0;0.0;0.4981940465811433;0.4981940465811433;0.0;0.0;0.0;0.0;0.0;0.0;27.400.672.561.962.800;0.0;8029;0.0;0;0;0;1;0;Reliable;0.9992034;3FVBZG9CLJQ4HKS3WISD4SDOVZG0HO#9b378207-e21a-4cf1-85ce-e30cfe7a0c79#1A2YGFDGV28B83Y;1468;Table - 7/7;Reliable
1485;0;24;0;0;2;0;0;11;11;0;0;0;0;5;0;94;0;5.663.399.565.233.970;0.0;0.9152968994317532;0.0;0.0;0.0762747416193127;0.0;0.0;0.4195110789062202;0.4195110789062202;0.0;0.0;0.0;0.0;0.1906868540482819;0.0;35.849.128.561.077;0.0;26221;0.0;0;0;0;0;1;Reliable;0.9993438;2aa3b499-73ff-4481-bb0d-5f0923b30087#516a0afd-dea2-4c8b-b6c0-3a839872ce75#19974cfca;970;Your Task;Reliable
2519;15;39;3;3;5;0;0;14;14;0;0;0;0;8;0;52;0;56.715.073.736.350.300;0.3377237419790611;0.8780817291455589;0.0675447483958122;0.0675447483958122;0.112574580659687;0.0;0.0;0.3152088258471237;0.3152088258471237;0.0;0.0;0.0;0.0;0.1801193290554992;0.0;1.170.775.638.860.740;0.0;44415;0.0;0;0;0;0;1;Reliable;0.9978429;30OITAWPBQFMDEGGWEB6X3EHY2S9HP#fa621547-c194-499e-a9bc-2918f039075c#1A35LI94R0D873K;1099;Your Task;Reliable
3221;5;42;2;2;4;0;0;17;17;0;0;0;0;12;0;103;0;8.819.341.766.606.420;0.1369037840205903;1.149.991.785.772.950;0.0547615136082361;0.0547615136082361;0.1095230272164722;0.0;0.0;0.4654728656700071;0.4654728656700071;0.0;0.0;0.0;0.0;0.3285690816494168;0.0;28.202.179.508.241.600;0.0;36522;0.0;0;0;0;0;1;Reliable;0.9981547;3D06DR5225VMABRWFH5JL3XXL69MAQ#1b33e46b-7d9c-44f9-b6f8-6db334d807fb#1A1LV99JKLQTHC6;1099;Your Task;Reliable
92;9;33;3;3;3;0;0;12;12;0;0;0;0;0;0;45;0;7.966.057.667.330.500;0.7792882500649407;2.857.390.250.238.110;0.2597627500216469;0.2597627500216469;0.2597627500216469;0.0;0.0;10.390.510.000.865.800;10.390.510.000.865.800;0.0;0.0;0.0;0.0;0.0;0.0;3.896.441.250.324.700;0.0;11549;0.0;0;0;1;0;0;Reliable;0.987586;2eaf2550-ad13-4a38-8309-d3f5aa3e1df9#ba7e08a6-5d48-4b6e-a238-0f794d9574b5#134788bc1;1470;Dates - 1/5;Reliable
347;77;258;42;42;42;0;3;65;64;0;0;0;0;21;1;28;0;7.779.571.338.893.370;17.263.025.737.602.000;5.784.234.597.793.920;0.9416195856873826;0.9416195856873826;0.9416195856873826;0.0;0.067258541834813;14.572.684.064.209.400;14.348.488.924.760.100;0.0;0.0;0.0;0.0;0.4708097928436913;0.0224195139449376;0.6277463904582551;0.0;44.603.999.999.999.900;201.53;0;0;1;0;0;Reliable;0.99971503;2f51ab30-177d-4d01-918a-84e189456a80#8dc07725-e580-4f04-8319-b9f26a9489ea#1282221d9;1470;Dates - 1/5;Reliable
159;14;53;4;4;4;0;1;20;20;0;0;0;0;5;0;68;0;4.954.351.416.196.670;0.436232200168261;16.514.504.720.655.500;0.124637771476646;0.124637771476646;0.124637771476646;0.0;0.0311594428691615;0.62318885738323;0.62318885738323;0.0;0.0;0.0;0.0;0.1557972143458075;0.0;2.118.842.115.102.980;0.0;32.092.999.999.999.900;10195;0;0;1;0;0;Reliable;0.9935302;302OLP89DZJ91PF52SB5I7SLRUKCAH#e1089c3b-d677-4d6b-a935-2e9a18a758d7#1A8CQ0JA8T70H6;1468;Dates - 1/5;Reliable
16;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;5;0;5.113.454.777.884.300;0.0;1.278.363.694.471.070;0.0;0.0;0.0;0.0;0.0;0.6391818472355385;0.6391818472355385;0.0;0.0;0.0;0.0;0.0;0.0;15.979.546.180.888.400;0.0;3129;0.0;0;1;0;0;0;Reliable;0.99853015;307FVKVSYRRONJ4S2AT3PIE7Y9X748#c1257e7a-22b4-44e0-ab7d-eeab6c93f1a5#1A3I4K12NLD367G;1468;Amounts - 4/11;Reliable
39;2;12;1;1;2;0;0;4;4;0;0;0;0;0;0;28;0;5.532.699.673.712.580;0.283728188395517;17.023.691.303.731.000;0.1418640941977585;0.1418640941977585;0.283728188395517;0.0;0.0;0.5674563767910341;0.5674563767910341;0.0;0.0;0.0;0.0;0.0;0.0;3.972.194.637.537.230;0.0;7049;0.0;0;0;0;1;0;Reliable;0.99864084;30EMX9PEVKVVKJDNB5EURQZZI9EKSC#f187a663-f7a3-4c19-ac2b-0cf30d40a59d#1A2Z47D617IO2SD;1468;Table - 7/7;Reliable
