mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class,date,merge,start_datetime,is_same_recording_id,is_same_focus_count,is_same_mouse_move_count,is_same_mutation_count,is_same_workunit_id,verbose_text,worker_id,step_id.1,pattern,Prediction,Confidence,confidence_without_cal
5.0,0.0,15.0,2.0,2.0,2.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98003992015968,0.0,29.940119760479043,3.992015968063872,3.992015968063872,3.992015968063872,0.0,1.996007984031936,7.984031936127744,7.984031936127744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,1.0,0.0,3QGTX7BCHPEP3CEYZA4WLUDK8NX5Z9#397e0054-0fc2-4382-8e0c-0d7df588d4d0#1A1CEDI7E2Y40W1,1468.0,Table - 2/7,Reliable,2024-08-30,ok,2024-08-28 06:14:59.000,True,True,True,True,True,,,,,,,
17.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0875912408755,0.0,51.09489051094874,7.299270072992677,7.299270072992677,7.299270072992677,0.0,0.0,14.598540145985352,14.598540145985352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1370000000000004,10.568,0.0,0.0,0.0,1.0,0.0,7ee1f836-f7d9-433e-8b77-47236c8f00d7#8969d34a-2a9b-495a-8dec-ae5d26b95d95#1a43cdf20,1470.0,Table - 6/7,Reliable,2024-08-30,ok,2024-08-28 11:49:26.000,True,True,True,True,True,,,,,,,
5.0,0.0,8.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9203187250996,0.0,31.872509960159363,3.98406374501992,3.98406374501992,3.98406374501992,0.0,3.98406374501992,7.968127490039841,7.968127490039841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,1.0,0.0,82cea1ac-cc7b-45ec-be74-af1008fd4b1b#7f2a60c7-33b6-4882-9157-ec5052ad34f4#19386eb9d,1470.0,Table - 3/7,Reliable,2024-08-30,ok,2024-08-29 18:28:32.000,True,True,True,True,True,,,,,,,
7.0,0.0,14.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.908212560386474,0.0,33.81642512077295,4.830917874396135,4.830917874396135,4.830917874396135,0.0,0.0,9.66183574879227,9.66183574879227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,1.0,0.0,82cea1ac-cc7b-45ec-be74-af1008fd4b1b#7f2a60c7-33b6-4882-9157-ec5052ad34f4#19386eb9d,1470.0,Table - 4/7,Reliable,2024-08-30,ok,2024-08-29 18:28:33.000,True,True,True,True,True,,,,,,,
6.0,0.0,14.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.492753623188406,0.0,33.81642512077295,4.830917874396135,4.830917874396135,4.830917874396135,0.0,0.0,9.66183574879227,9.66183574879227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,1.0,0.0,82cea1ac-cc7b-45ec-be74-af1008fd4b1b#7f2a60c7-33b6-4882-9157-ec5052ad34f4#19386eb9d,1470.0,Table - 5/7,Reliable,2024-08-30,ok,2024-08-29 18:28:33.000,True,True,True,True,True,,,,,,,
7.0,0.0,14.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.74641148325359,0.0,33.49282296650718,4.784688995215311,4.784688995215311,4.784688995215311,0.0,0.0,9.569377990430622,9.569377990430622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,0.0,0.0,1.0,0.0,82cea1ac-cc7b-45ec-be74-af1008fd4b1b#7f2a60c7-33b6-4882-9157-ec5052ad34f4#19386eb9d,1470.0,Table - 6/7,Reliable,2024-08-30,ok,2024-08-29 18:28:34.000,True,True,True,True,True,,,,,,,
4.0,0.0,8.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.037593984962406,0.0,30.07518796992481,3.7593984962406015,3.7593984962406015,3.7593984962406015,0.0,3.7593984962406015,7.518796992481203,7.518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,0.0,1.0,0.0,0.0,0.0,8fbac344-ff99-4bee-ae7e-252e20db65ab#35df1833-65f5-4134-856f-581a1c0f18d7#1d120686d,1470.0,Amounts - 5/11,Reliable,2024-08-30,ok,2024-08-29 18:23:47.000,True,True,True,True,True,,,,,,,
4.0,0.0,14.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.38961038961039,0.0,36.36363636363636,5.194805194805195,5.194805194805195,5.194805194805195,0.0,0.0,10.38961038961039,10.38961038961039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0,1.0,0.0,0.0,0.0,c65d8632-754c-45ea-b885-8aa92843dcc3#d4ae79ee-cd57-4dfd-a7ac-160cc09fcfca#10e7de64d,1470.0,Amounts - 10/11,Reliable,2024-08-30,ok,2024-08-28 05:05:28.000,True,True,True,True,True,,,,,,,
4.0,1.0,14.0,2.0,2.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.528784648187633,2.1321961620469083,29.85074626865672,4.264392324093817,4.264392324093817,2.1321961620469083,0.0,2.1321961620469083,8.528784648187633,8.528784648187633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,0.0,0.0,1.0,0.0,0.0,0.0,c65d8632-754c-45ea-b885-8aa92843dcc3#d4ae79ee-cd57-4dfd-a7ac-160cc09fcfca#10e7de64d,1470.0,Amounts - 8/11,Reliable,2024-08-30,ok,2024-08-28 05:05:27.000,True,True,True,True,True,,,,,,,
5.0,1.0,14.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.88888888888889,2.7777777777777777,38.88888888888889,5.555555555555555,5.555555555555555,5.555555555555555,0.0,0.0,11.11111111111111,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,1.0,0.0,0.0,0.0,c65d8632-754c-45ea-b885-8aa92843dcc3#d4ae79ee-cd57-4dfd-a7ac-160cc09fcfca#10e7de64d,1470.0,Amounts - 9/11,Reliable,2024-08-30,ok,2024-08-28 05:05:28.000,True,True,True,True,True,,,,,,,
